;<Komentáø>
  
0.22,  0.19,  0.19,  0.37,  0.26,  0.22,  0.11,  0.16,  5.52
  0.58,  0.58,  0.50,  0.81,  0.81,  0.66,  0.24,  0.31,  6.13
  0.11,  0.21,  0.22,  0.26,  0.31,  0.27,  0.12,  0.24,  0.00
  0.70,  0.62,  0.45,  0.68,  0.78,  0.79,  0.30,  0.47,  2.68
  2.75,  3.57,  2.80,  1.37,  3.50,  5.91,  2.53,  2.05,  0.00
  0.00,  0.00,  0.00,  0.00,  0.01,  0.02,  0.01,  0.01,  0.00
  0.33,  0.22,  0.25,  0.39,  0.28,  0.32,  0.17,  0.44,  1.63
  2.59,  1.99,  2.36,  1.69,  4.28,  8.27,  3.72,  3.71,  0.00
  0.00,  0.00,  0.00,  0.05,  0.13,  0.30,  0.04,  0.08,  0.00
  0.30,  0.21,  0.25,  0.29,  0.19,  0.25,  0.18,  0.49,  1.37
  0.51,  0.15,  0.49,  2.74,  2.84,  0.62,  0.23,  4.05,  0.00
